169,labname,homebank_id,aclew_id,child_level_id,sharing_environment,lab_internal_subject_id,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,household_size,premature,region,ses_details,,,
96,ROS,,7531,M-03,N,M-03 a3,22,21m;28d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",248,248,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
97,ROS,,6945,M-04,N,M-04 a1,12,11m;20d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,248,248,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
98,ROS,,2280,M-04,N,M-04 a2,18,18m;14d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,248,248,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
99,ROS,,907,M-04,N,M-04 a3,24,24m;08d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,240,240,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
100,ROS,,1924,M-05,N,M-05 a1,20,20m;09d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree","ersity, Bachelor degree",239,239,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
101,ROS,,5456,M-05,N,M-05 a2,27,26m;25d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree","ersity, Bachelor degree",238,238,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
102,ROS,,4876,M-05,N,M-05 a3,35,34m;18d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree","ersity, Bachelor degree",292,292,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
103,ROS,,1092,M-06,N,M-06 a1,14,14m;10d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,240,240,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
104,ROS,,8215,M-06,N,M-06 a2,20,20m;09d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,213,213,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
105,ROS,,1135,M-06,N,M-06 a3,27,27m;09d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,248,248,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
106,ROS,,1201,M-07,N,M-07 a1,8,8m;01d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",238,238,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
107,ROS,,3510,M-07,N,M-07 a2,14,14m;10d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",240,240,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
108,ROS,,2698,M-07,N,M-07 a3,20,20m;02d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",245,245,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
109,ROS,,5271,M-08,N,M-08 a1,20,19m;26d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",238,238,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
110,ROS,,6026,M-08,N,M-08 a2,27,27m;02d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",240,240,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
111,ROS,,8058,M-08,N,M-08 a3,33,32m;22d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",247,247,4,N,"CABA, ARG",RESIDENTIAL AREA,,,
112,ROS,,9642,M-09,N,M-09 a1,13,13m;08d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,255,255,5,N,"Olivos, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
113,ROS,,9051,M-09,N,M-09 a2,19,19m;11d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,275,275,5,N,"Olivos, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
114,ROS,,2587,M-09,N,M-09 a3,26,25m;18d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",secondary,257,257,5,N,"Olivos, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
115,ROS,,3107,M-10,N,M-10 a1,16,15m;26d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",post-secondary/tertiary,240,240,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
116,ROS,,9959,M-10,N,M-10 a2,21,21m;09d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",post-secondary/tertiary,240,240,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
117,ROS,,2627,M-10,N,M-10 a3,29,29m;13d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,"ersity, Bachelor degree",post-secondary/tertiary,241,241,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
118,ROW,,8458,C004,N,C004,11,11m;10d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)","Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",960,16:00:00,3,N,Northwest England,NA,,,
119,ROW,,3664,C004,N,C004,15,15m;8d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)","Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",875,14:35:06,3,N,Northwest England,NA,,,
120,ROW,,7613,C004,N,C004,18,18m;8d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)","Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",960,16:00:00,3,N,Northwest England,NA,,,
121,ROW,,1875,C004,N,C004,21,21m;9d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)","Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",909,15:08:41,3,N,Northwest England,NA,,,
